sentence,subject,verb,object
The twentieth century saw intensive development of new technologies,century,see,development
"Our conversation turned to the subject of ""tongues"".",conversation,turn,
The resumption of school brought relief to thousands of children.,resumption,bring,relief
Utah’s economy is moving in the right direction.,economy,move,
The service will meet your expectations.,service,meet,expectation
I hope all her marketing materials live the dream.,material,live,dream
"Three years later, unemployment stands at 8.2 percent.",unemployment,stand,
Actions talk even louder than phrases.,action,talk,
This statement sits oddly in the article.,statement,sit,
Personal income has not fallen because of welfare programs.,income,fall,
"The silence spoke volumes, none of which he wanted to hear.",silence,speak,volume
"Our car decided to act raggedy on Friday, we had to take it to the shop.",car,decide,
My computer battery died.,battery,die,
"If you walk documents into the office, you can also pay by VISA or MasterCard.",,walk,document
The company is letting money walk out the door.,money,walk,
They are accidents waiting to happen.,accident,wait,
Texans broke their own record for electricity demand for the third time this month.,Texan,break,record
"Two Fridays ago, temperatures broke 100 across central Indiana.",temperature,break,
Will insurance cover my care?,insurance,cover,care
He also says the state needs to cut spending on Medicaid.,state,cut,spending
Hawaii kills proposal for home energy loans.,Hawaii,kill,proposal
How is consumer electronics driving innovation in the U.S. and abroad?,electronics,drive,innovation
Luck loves those that expect it.,luck,love,
Teenagers wear attitude like a uniform.,teenager,wear,attitude
He was catching a flight to New York to attend a conference.,,catch,flight
Envy eats away at your soul.,envy,eat,
Some of the most disturbing data pointed to the physical pain.,data,point,
Japanese advertisers pulled their ads off the air.,advertiser,pull,ad
They wanted to close a deal with the Egyptians quickly.,,close,deal
The police closed the investigation.,police,close,investigation
Bicycle suffered major damage.,bicycle,suffer,damage
Just wanted to let you know Tori threw a temper tantrum and hit her head on the floor,Tori,throw,tantrum
He started to look for other business opportunities and soon Fortune smiled at him.,fortune,smile,
"For a brief moment this week, excitement filled the streets of both Havana and Miami.",excitement,fill,street
Please join me as we work together to fight hunger in your community.,,fight,hunger
Competition is dropping prices.,competition,drop,price
That happens once a new product really hits the market.,product,hit,market
Murkowski is pushing legislation through Congress.,Murkowski,push,legislation
One of the seatbelt bolts refused to budge.,bolt,refuse,
"However, the stupid men laid the blame on innocent dogs.",man,lay,blame
The future of our transportation system hangs in the balance.,future,hang,
The change in teaching has shaken their confidence in the Church.,change,shake,confidence
The rumors flew that this far right group was coming again.,rumor,fly,
A special interest is how ideas travel among enterprises within or across different trades and nations.,idea,travel,
Different circumstances demand a different translation.,circumstance,demand,
This is a Prime Minister who has got a solution staring him in the face.,solution,stare,
"On Sunday, China's manufacturing data beat expectations",data,beat,expectation
Comprehensive solutions marry ideas favored by one party and opposed by the other.,solution,marry,idea
"So before anybody starts shooting down proposals, I think we need to listen.",,shoot,proposal
These trucks drink as much as they can and happily spew a load of carbon into the air.,truck,drink,
Dread settled in Hutch's chest with the ache of a bad cold.,dread,settle,
Use whatever association strikes your fancy.,association,strike,fancy
Then came the War and tragedy struck the little community.,tragedy,strike,community
"Indeed, Mr. Obama has made it clear that he will press advantages where he sees them.",,press,advantage
Countless marriages have survived initial problems.,marriage,survive,problem
The Bundestag in Germany lifted the ban on the Jesuit order of priests.,Bundestag,lift,ban
His kindness has really touched me.,kindness,touch,
"The good news is that even while Congress sleeps, there are those on both the right and left that recognize the dangers.",congress,sleep,
No epic adventure has fed the imagination of millions of fans worldwide quite like the Star Wars series has.,adventure,feed,imagination
Their hearts cry out for worship.,heart,cry,
The thriller didn’t stick its landing with all folks that ended up watching it.,thriller,stick,landing
"Across the compound, a clump of trees nodded gently in the winter breeze.",clump,nod,
His opponents will be attacking his credibility.,opponent,attack,credibility
Midwesterners try to spread the wealth evenly.,midwesterner,spread,wealth
Rumors spread that Coco was on good terms with the Germans.,rumor,spread,
"By the end of Bush's presidency, unemployment climbed to 7.2%.",unemployment,climb,
Fate stepped in during her brother’s trip to NYC in September 2007.,fate,step,
These methodological blunders escaped the notice of the eminent reviewers.,blunder,escape,notice
The U.S. Supreme Court handed a victory to generic drug companies.,court,hand,victory
Forced overtime  burns goodwill  at an extremely high rate.,overtime,burn,goodwill
The company's stock jumped more than five percent,stock,jump,
"At Southwest Airlines, they understand that success rides on friendly service.",success,ride,
I find it a constant struggle to shut my brain off sometimes.,,shut,brain
Don’t go and blow your paycheck though.,,blow,paycheck
My computer slipped into coma.,computer,slip,coma
My difficult daily schedule slips by wayside.,schedule,slip,
"The courts have attached broad meaning to the term ""interstate commerce"".",court,attach,meaning
5 states are still solidly or strongly leaning Republican.,state,lean,republican
"Instead, Bernanke leaned on Congress to do more.",Bernake,lean,congress
Apple has rolled out a new commercial for the iPad,Apple,roll,commercial
Look at their smiling faces and their zeal as they try to wash their sins away.,,wash,sin
"Like last year, Android tablets are stealing the spotlight.",tablet,steal,spotlight
The stress test results stole the show from the Fed.,result,steal,show
Out-of-control spending was hurting the economy.,spending,hurt,economy
This is where some professionals may stretch the truth because they also know this is very important to you.,professional,stretch,truth
There are many things in life that can knock your confidence.,,knock,confidence
Once my phone was paired the car complained that my SD card was corrupt.,car,complain,
Your destiny is tied to the person you work for.,,tie,destiny
I really hope society wakes up soon.,society,wake,
"This would do more to clean up government than a lot of other proposals would, but that is just my opinion.",,clean,government
"I recently landed a nursing internship, which I am currently enjoying.",,land,internship
We need to kick our addiction to carbon.,,kick,addiction
In his views as the primary electorate swings further right.,electorate,swing,
The Great Depression dragged the market down with it.,depression,drag,market
Life rushes to replace death.,life,rush,
This one speech could sink his candidacy.,speech,sink,candidacy
But it is in the company framework that buries initiative.,framework,bury,initiative
Mitt Romney swept five primaries on Tuesday night.,Mitt Romney,sweep,primary
The rich are getting richer while the middle class slides into poverty.,class,slide,poverty
"Plainly, Ehud Olmert, Israel's prime minister, should grab any opportunity to talk.",Olmert,grab,opportunity
Headlines scream of pollution and dwindling natural resources.,headline,scream,
Primary battles have torn the party apart.,battle,tear,party
"Nonetheless, an established cult of fans digs this activity.",cult,dig,activity
"However, the funding dried up in 2007.",funding,dry,
The German economy shrugged off the impact of eurozone debt crisis.,economy,shrug,impact
The economy sailed through the world recession of 2001.,economy,sail,
The government dreams up regulations that affect pubs every day.,government,dream,regulation
The creativity flowed from the parents as well as the children.,creativity,flow,
The pride bursts from my heart.,pride,burst,
Airports are swimming in money from passenger fees.,airport,swim,money
Communism collapsed world-wide.,communism,collapse,
She hated strangers approaching her for any reason.,stranger,approach,
The camp smoke arose from the usual places as far as I could see.,smoke,arise,
The bus eventually arrived.,bus,arrive,
Attach a drain hose to the radiator drain.,,attach,hose
Somali pirates have attacked 62 ships.,pirate,attack,ship
"In a large bowl, beat eggs until foamy.",,beat,egg
A suicide bomber blew up his sport-utility vehicle in the middle of a village volleyball game.,bomber,blow,vehicle
"Amidst all of that commotion, my wife’s car broke down while she was out getting us pizza.",car,break,
Her son broke my window.,son,break,window
It is imperative that you bring your own food.,,bring,food
I love that these candles burn clean!,candle,burn,
Fireworks burst over the stadium and lit the night sky.,firework,burst,
The Army started burying soldiers along the northern border of the Arlington estate.,army,bury,soldier
Ships typically carry up to 12 passengers in comfortable single or double cabins.,ship,carry,passenger
"We each caught another salmon that day, too.",,catch,salmon
"Clean a carpet stain immediately, even if you can't see it.",,clean,stain
They climb the stairs to the top of the dam,,climb,stairs
The police closed the main exit road.,police,close,road
Jim closed the book.,Jim,close,book
A bridge had collapsed due to the rains.,bridge,collapse,
Some reviewers have complained about the smell.,reviewer,complain,
By this time the young boy was crying.,boy,cry,
I used to cut grass on a golf course when I was in college.,,cut,grass
The judges decide on the winner of the category.,judge,decide,
The protesters demanded the release of the jailed students.,protester,demand,
Her father died when she was very young.,father,die,
I found them while the workmen were digging this pond.,workman,dig,pond
He dragged his suitcase up the stairs of the inn.,,drag,suitcase
Some brides dream of an elegant formal ceremony in a huge castle.,bride,dream,
Most informants agreed that camels drink more water in the winter than in the summer.,camel,drink,water
The driver was driving on the wrong side of the road and did not see Joshua.,driver,drive,
This paint dries fast!,paint,dry,
If you don’t eat breakfast and you’re tired by 9 am.,,eat,breakfast
Passing through the hallway visitors enter into the dining room.,visitor,enter,room
"A couple of prisoners have escaped from the jail near Reykjavik, Iceland.",prisoner,escape,
All the leaves had fallen from the trees.,leaf,fall,
The farmer arrived to feed the cows.,,feed,cow
You will be able to fill the water bottle at a fountain.,,fill,bottle
Yesterday lava flowed 90 meters wide as far out as a hundred meters from the shoreline.,lava,flow,
"Contra planes flew north to the U.S., loaded with cocaine.",plane,fly,
A man went to a city.,man,go,city
She grabbed a towel and wrapped it around her head.,,grab,towel
"And then my dad had a garden, so he grew vegetables.",,grow,vegetables
A week later we handed the keys to our old apartment to our landlord.,,hand,key
I remember my head hit the ground.,head,hit,ground
As soon as I lie down my stomach hurts again.,stomach,hurt,
Now the fish are jumping out of the pond right into my net!,fish,jump,
"To score this point, a kicker must kick the football through the goal posts.",kicker,kick,football
"In July, a suicide bomber killed three people including the top justice official in the region.",bomber,kill,person
How do you feel when a salesman knocks at your door when you're hurriedly getting ready for the office?,salesman,knock,door
The helicopter landed in the snow.,helicopter,land,
Iran plans to launch an additional satellite.,Iran,launch,satellite
The couple laid a wreath at the Tomb of the Unknown Soldier.,couple,lay,wreath
"I shouted to the driver, who was leaning his head out the window.",,lean,head
The pharmacist leaned forward and said he understood.,pharmacist,lean,
These muscles are used to help lift your legs.,,lift,leg
"If my children lived nearby, I would be babysitting.",child,live,
People love to be asked about what they’re working on.,person,love,
My daughter has married an Indian man and we attended the traditional Hindu wedding.,daughter,marry,man
I met a girl who claimed she was in the circus.,,meet,girl
The object then moved slowly away.,object,move,
The man nodded his approval and walked around to me.,man,nod,approval
"Miranda opened her mouth to reply, but no words came out.",Miranda,open,mouth
Note that the antennas are pointing in different directions.,antena,point,
The horse pulled his head away and lipped the man's nose.,horse,pull,head
The steam pushed the piston up and down.,steam,push,piston
"At Pitzer College on Wednesday night, nearly 150 students raised their hands.",student,raise,hand
What can you do if the landlord refuses to make repairs to the premises?,landlord,refuse,
A pair of cowboys rode into town.,cowboy,ride,
Columns of smoke rose from fires burning out of control.,column,rise,
The tears rolled down the poor child's face.,tear,roll,
I rarely have a chance to see my horses run.,horse,run,
Reporters rushed to the scene.,reporter,rush,
The doctor said it would heal fine that way.,doctor,say,
The crowd screamed and sang along as usual.,crowd,scream,
Hawaii of course was settled by Polynesian immigrants from Tahiti about one thousand years ago.,immigrant,settle,Hawaii
The young man shook his head.,man,shake,head
He just shrugged his shoulders.,,shrug,shoulder
The ship was sunk by a Soviet submarine.,submarine,sink,ship
His cat was now sitting expectantly upon his feet.,cat,sit,
Most babies sleep primarily in their parent’s room for months.,baby,sleep,
The top right-hand drawer slid open at a touch.,drawer,slide,
Theo's foot slipped on the slick stone.,foot,slip,
Dean slips his own knife into the sheath in the back of his pants,Dean,slip,knife
Frodo smiled amid his tears.,Frodo,smile,
Use a small brush to spread glue on the egg.,,spread,glue
"For a while, the headless statue stood in the front yard of a neighboring home.",statue,stand,
Frodo stared at the stone in his palm for a few moments.,Frodo,stare,
The thief stole the photo from the museum in Prague.,thief,steal,photo
The engineer stole Boeing trade secrets.,engineer,steal,secret
Blair stepped out of the car to meet him.,Blair,step,
Beth turned her head and stuck her tongue at me.,Beth,stick,tongue
Frank stretched his arm out across the length of the back of the bench.,Frank,stretch,arm
Some women suffer no pain at all.,woman,suffer,pain
The bar supports the full weight of the person.,bar,support,weight
Can humans survive without water?,human,survive,
The old man was sweeping the floor.,man,sweep,floor
There were over a dozen whale sharks swimming around us.,shark,swim,
Have you ever seen a politician talking to a rich person on TV?,politician,talk,
Older patients may tear the rotator cuff during the dislocation.,patient,tear,cuff
"Scientists think they have discovered the first liquid sea outside of Earth on Saturn's largest moon, Titan.",scientist,think,
Lebanese throw rocks at Israeli soldiers.,Lebanese,throw,rock
Then you can also tie a ribbon around the card to make it look pretty.,,tie,ribbon
The longer of the two ladders is not touching the ground.,ladder,touch,ground
"All passengers travel in cabins, and all cabins have a private shower & toilet.",passenger,travel,
Jim turned and walked into the waiting room.,Jim,turn,
"One morning at daybreak, thunder woke him.",thunder,wake,
Misha walks his dogs in the park.,Misha,walk,dog
Pedestrians walk between cafes and other small businesses.,pedestrian,walk,
We always wear helmets when we are riding bikes.,,wear,helmet
Today volunteers welcome visitors and groups of all sizes.,volunteer,welcome,visitor
